ProgramYear,CECounty,ESC,TDARegion,SiteID,SiteName,SiteCounty,ClaimDate,EnrollmentQty,FreeEligibleQty,ReducedEligibleQty,PaidEligibleQty,BreakfastDays,BreakfastTotal,BreakfastADP,BreakfastServedFree,BreakfastServedReduced,BreakfastServedPaid,LunchDays,LunchTotal,LunchADP,LunchServedFree,LunchServedReduced,LunchServedPaid,SnackDays,SnackTotal,SnackADP,SnackServedFree,SnackServedReduced,SnackServedPaid,TotalMealsSnacks,BreakfastReimbursement,LunchReimbursement,SnackReimbursement,TotalReimbursement
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,08/01/2017,601,601,0,0,14,6380,455.71,6380,0,0,14,6838,488.43,6838,0,0,0,0,0.0,0,0,0,13218,13334.2,22633.78,0.0,35967.98
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,09/01/2017,601,601,0,0,20,9436,471.8,9436,0,0,20,10244,512.2,10244,0,0,0,0,0.0,0,0,0,19680,19721.24,33907.64,0.0,53628.88
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,10/01/2017,601,601,0,0,20,9098,454.9,9098,0,0,20,10224,511.2,10224,0,0,0,0,0.0,0,0,0,19322,19014.82,33841.44,0.0,52856.26
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,11/01/2017,600,600,0,0,17,7573,445.47,7573,0,0,17,8236,484.47,8236,0,0,0,0,0.0,0,0,0,15809,15827.57,27261.16,0.0,43088.73
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,12/01/2017,579,579,0,0,13,5853,450.23,5853,0,0,13,6368,489.85,6368,0,0,0,0,0.0,0,0,0,12221,12232.77,21078.08,0.0,33310.85
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,01/01/2018,577,577,0,0,16,7150,446.88,7150,0,0,16,7734,483.38,7734,0,0,0,0,0.0,0,0,0,14884,14943.5,25599.54,0.0,40543.04
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,02/01/2018,575,575,0,0,19,8278,435.68,8278,0,0,19,9377,493.53,9377,0,0,0,0,0.0,0,0,0,17655,17301.02,31037.87,0.0,48338.89
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,03/01/2018,573,573,0,0,15,6913,460.87,6913,0,0,15,7604,506.93,7604,0,0,0,0,0.0,0,0,0,14517,14448.17,25169.24,0.0,39617.41
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,04/01/2018,573,573,0,0,23,9668,420.35,9668,0,0,22,10425,473.86,10425,0,0,0,0,0.0,0,0,0,20093,20206.12,34506.75,0.0,54712.87
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,05/01/2018,572,572,0,0,22,10507,477.59,10507,0,0,23,11247,489.0,11247,0,0,0,0,0.0,0,0,0,21754,21959.63,37227.57,0.0,59187.2
2017-2018,HIDALGO,1,5,136,IDEA RUNDBERG ACADEMY,AUSTIN,06/01/2018,572,572,0,0,1,532,532.0,532,0,0,1,521,521.0,521,0,0,0,0,0.0,0,0,0,1053,1111.88,1724.51,0.0,2836.39
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,08/01/2017,481,372,0,109,14,5817,415.5,4502,0,1315,14,5782,413.0,4475,0,1307,0,0,0.0,0,0,0,11599,8273.0,15321.98,0.0,23594.98
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,09/01/2017,469,363,0,106,20,8692,434.6,6728,0,1964,20,8613,430.65,6666,0,1947,0,0,0.0,0,0,0,17305,12363.2,22823.79,0.0,35186.99
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,10/01/2017,467,361,0,106,20,8490,424.5,6571,0,1919,20,8485,424.25,6567,0,1918,0,0,0.0,0,0,0,16975,12074.95,22484.79,0.0,34559.74
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,11/01/2017,462,358,0,104,17,6903,406.06,5343,0,1560,17,6915,406.76,5352,0,1563,0,0,0.0,0,0,0,13818,9818.25,18324.69,0.0,28142.94
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,12/01/2017,464,359,0,105,13,5268,405.23,4077,0,1191,13,5358,412.15,4147,0,1211,0,0,0.0,0,0,0,10626,7492.05,14198.86,0.0,21690.91
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,01/01/2018,467,361,0,106,16,6521,407.56,5047,0,1474,16,6553,409.56,5072,0,1481,0,0,0.0,0,0,0,13074,9274.45,17365.91,0.0,26640.36
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,02/01/2018,467,361,0,106,19,7808,410.95,6043,0,1765,19,7817,411.42,6050,0,1767,0,0,0.0,0,0,0,15625,11104.75,20714.63,0.0,31819.38
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,03/01/2018,463,358,0,105,15,6245,416.33,4834,0,1411,15,6266,417.73,4850,0,1416,0,0,0.0,0,0,0,12511,8882.8,16605.74,0.0,25488.54
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,04/01/2018,463,358,0,105,21,8880,422.86,6873,0,2007,21,8865,422.14,6862,0,2003,0,0,0.0,0,0,0,17745,12629.85,23494.39,0.0,36124.24
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,05/01/2018,463,358,0,105,24,9782,407.58,7571,0,2211,24,9748,406.17,7545,0,2203,0,0,0.0,0,0,0,19530,13912.55,25833.12,0.0,39745.67
2017-2018,HIDALGO,1,5,137,IDEA Bluff Springs Academy,TRAVIS,06/01/2018,461,357,0,104,1,381,381.0,295,0,86,1,362,362.0,280,0,82,0,0,0.0,0,0,0,743,542.05,958.78,0.0,1500.83
